Control_ID,Control_Name,Implementation,Evidence_Artifact,Owner,Last_Tested,Status
AC-3,Access Enforcement,Bearer token required on /api/v1/*; fail-closed,pytest test_statusd_auth + prod 403 log sample,Operator,,
AC-4,Information Flow,PublicStatusDTO redaction excludes adapter.raw and full logs,tests/test_redaction.py,Engineering,,
AC-6,Least Privilege,uvpn-statusd runs as unprivileged uvpn-status user,src/deploy/linux/uvpn-statusd.service,Operator,,
AC-17,Remote Access,Bind overlay IP only; nftables allowlist,docs/security/host-hardening-linux.md + firewall logs,Operator,,
IA-2,Identification and Authentication,HTTP Bearer from UVPN_STATUS_TOKEN_FILE (mode 0600),Token rotation runbook in verification.md,Operator,,
IA-5,Authenticator Management,Quarterly token rotation documented,Change ticket + failed old token test,Operator,,
AU-2,Audit Events,Structured JSON request logs (no bodies/tokens),Sample journald line in verification.md,Operator,,
AU-3,Audit Record Content,Fields: ts sub src_ip method path status request_id,Audit log schema in nist-portal-architecture.md,Engineering,,
AU-8,Time Stamps,chrony/sntp on host — OS responsibility,ntpq -p output,Operator,,
AU-12,Audit Generation,uvicorn access via statusd audit middleware,CI + manual log review,Engineering,,
SC-7,Boundary Protection,nftables/firewalld allowlist private CIDR,docs/security/host-hardening-linux.md,Operator,,
SC-8,Transmission Confidentiality,TLS 1.2+ at Caddy per SP 800-52 Rev 2 Sec 3.1,testssl.sh report mapped to 800-52,Operator,,
SC-13,Cryptographic Protection,AEAD cipher suites at reverse proxy,Caddyfile.example,Operator,,
SC-28,Protection at Rest,config/token 0600; state.json 0640 group read,install-statusd.sh file modes,Operator,,
SI-2,Flaw Remediation,pip-audit on [portal] in CI,.github/workflows/uvpn-ci.yml artifact,Engineering,,
SI-10,Information Input Validation,Pydantic response models; 405 on mutations,tests/test_statusd.py,Engineering,,
CM-6,Configuration Settings,Hardened systemd unit,systemd-analyze security output,Operator,,
RA-5,Vulnerability Scanning,pip-audit + bandit in CI,CI workflow logs,Engineering,,
CA-7,Continuous Monitoring,Weekly dep scan monthly token review,verification.md cadence,Operator,,
